Name,Code,All usual residents,Households
TAMLAGHT (FERMANAGH LGD),N11000367, 409 , 157 
TEEMORE,N11000368, 184 , 64 
TEMPO,N11000369, 489 , 215 
BALLYCARRY,N11000371, 1371 , 536 
BALLYGALLEY,N11000372, 818 , 333 
BALLYSTRUDDER,N11000373, 992 , 389 
CARNCASTLE,N11000377, 101 , 36 
CARNLOUGH,N11000378, 1512 , 563 
CROSSHILL,N11000379, 80 , 24 
GLENARM,N11000385, 564 , 242 
GLENOE,N11000386, 105 , 41 
GLYNN,N11000387, 632 , 267 
LARNE,N11000389, 18705 , 8152 
MAGHERAMORNE,N11000390, 215 , 86 
MILL BAY,N11000391, 103 , 40 
MOUNTHILL,N11000392, 114 , 46 
MULLAGHBOY,N11000393, 364 , 148 
ARDGARVAN,N11000396, 108 , 48 
ARTIKELLY,N11000397, 309 , 111 
BALLYKELLY,N11000398, 2103 , 758 
BELLARENA,N11000399, 332 , 125 
BURNFOOT,N11000400, 239 , 92 
DERNAFLAW,N11000401, 299 , 90 
DRUMSURN,N11000402, 459 , 161 
DUNGIVEN,N11000403, 3286 , 1170 
FEENY,N11000404, 690 , 243 
FOREGLEN,N11000405, 261 , 88 
GLACK,N11000406, 244 , 86 
GORTNAHEY,N11000407, 278 , 104 
GREYSTEEL,N11000408, 1454 , 526 
LARGY,N11000409, 162 , 55 
LIMAVADY,N11000410, 12047 , 4766 
AGHALEE,N11000412, 863 , 300 
ANNAHILT,N11000413, 1045 , 371 
BALLYAUGHLIS,N11000414, 99 , 44 
BALLYCARN,N11000415, 105 , 38 
BALLYLESSON,N11000416, 111 , 44 
BALLYNADOLLY,N11000417, 79 , 32 
BALLYSKEAGH,N11000418, 194 , 101 
DROMARA,N11000421, 1006 , 399 
DRUMBEG,N11000422, 813 , 321 
DRUMBO,N11000423, 375 , 157 
DRUMLOUGH,N11000424, 74 , 24 
DUNDROD,N11000426, 193 , 55 
